ds,y
2016-09-30,132.39
2016-10-31,50942.23
2016-11-30,0.0
2016-12-31,10.9
2017-01-31,128637.99
2017-02-28,260753.86000000002
2017-03-31,396451.04
2017-04-30,391784.42
2017-05-31,545340.65
2017-06-30,453031.41
2017-07-31,533616.84
2017-08-31,601409.67
2017-09-30,662276.39
2017-10-31,693807.6
2017-11-30,1046127.84
2017-12-31,770656.15
2018-01-31,987151.41
2018-02-28,880099.79
2018-03-31,1025936.06
2018-04-30,1029472.3
2018-05-31,1032150.4400000001
2018-06-30,909221.1
2018-07-31,925302.46
2018-08-31,884657.4
2018-09-30,145.0
