Month,Sales,Type
2016-09-30,132.39,Actual
2016-10-31,50942.23,Actual
2016-11-30,0.0,Actual
2016-12-31,10.9,Actual
2017-01-31,128637.99,Actual
2017-02-28,260753.86000000002,Actual
2017-03-31,396451.04,Actual
2017-04-30,391784.42,Actual
2017-05-31,545340.65,Actual
2017-06-30,453031.41,Actual
2017-07-31,533616.84,Actual
2017-08-31,601409.67,Actual
2017-09-30,662276.39,Actual
2017-10-31,693807.6,Actual
2017-11-30,1046127.84,Actual
2017-12-31,770656.15,Actual
2018-01-31,987151.41,Actual
2018-02-28,880099.79,Actual
2018-03-31,1025936.06,Actual
2018-04-30,1029472.3,Actual
2018-05-31,1032150.4400000001,Actual
2018-06-30,909221.1,Actual
2018-07-31,925302.46,Actual
2018-08-31,884657.4,Actual
2018-09-30,145.0,Actual
2016-09-30,176736.67283059203,Forecast
2016-10-31,41848.76769297758,Forecast
2016-11-30,59488.604855653015,Forecast
2016-12-31,103856.52280793968,Forecast
2017-01-31,278657.3377697473,Forecast
2017-02-28,394016.7963195373,Forecast
2017-03-31,467118.56463201286,Forecast
2017-04-30,395310.9554265494,Forecast
2017-05-31,480781.5168449691,Forecast
2017-06-30,343482.7279834087,Forecast
2017-07-31,408484.0226514599,Forecast
2017-08-31,479509.9382985751,Forecast
2017-09-30,219651.9662994044,Forecast
2017-10-31,703210.0726333122,Forecast
2017-11-30,987082.8797186906,Forecast
2017-12-31,667272.7921826756,Forecast
2018-01-31,837583.6478106306,Forecast
2018-02-28,746167.0734240797,Forecast
2018-03-31,954667.7403835986,Forecast
2018-04-30,1025256.0843082627,Forecast
2018-05-31,1096138.6022626874,Forecast
2018-06-30,1018529.9409776803,Forecast
2018-07-31,1050427.752802074,Forecast
2018-08-31,1006753.2576597417,Forecast
2018-09-30,266643.3616423422,Forecast
2018-10-31,1377555.7372600357,Forecast
2018-11-30,1914665.3742609972,Forecast
2018-12-31,1224269.0515509944,Forecast
2019-01-31,1391255.2772327948,Forecast
2019-02-28,1098283.6567167265,Forecast
2019-03-31,1446979.8300518338,Forecast
